date,stp_id,farm_id,biosolid_tons
2025-01-12,STP_TVM,F_1000,5.0
2025-01-12,STP_TVM,F_1004,5.0
2025-01-12,STP_TVM,F_1005,5.0
2025-01-12,STP_TVM,F_1008,5.0
2025-01-12,STP_TVM,F_1009,5.0
2025-01-12,STP_TVM,F_1020,5.0
2025-01-12,STP_TVM,F_1021,5.0
2025-01-12,STP_TVM,F_1024,5.0
2025-01-12,STP_TVM,F_1032,5.0
2025-01-12,STP_TVM,F_1036,5.0
2025-01-12,STP_TVM,F_1040,5.0
2025-01-12,STP_TVM,F_1048,5.0
2025-01-12,STP_TVM,F_1049,5.0
2025-01-12,STP_TVM,F_1053,5.0
2025-01-12,STP_TVM,F_1061,5.0
2025-01-12,STP_TVM,F_1064,5.0
2025-01-12,STP_TVM,F_1065,5.0
2025-01-12,STP_TVM,F_1068,5.0
2025-01-12,STP_TVM,F_1069,5.0
2025-01-12,STP_TVM,F_1072,5.0
2025-01-12,STP_TVM,F_1080,5.0
2025-01-12,STP_TVM,F_1085,5.0
2025-01-12,STP_TVM,F_1088,5.0
2025-01-12,STP_TVM,F_1093,5.0
2025-01-12,STP_TVM,F_1105,5.0
2025-01-12,STP_TVM,F_1116,5.0
2025-01-12,STP_TVM,F_1129,5.0
2025-01-12,STP_TVM,F_1133,5.0
2025-01-12,STP_TVM,F_1137,0.0016578731
2025-01-12,STP_TVM,F_1137,5.0
2025-01-12,STP_TVM,F_1140,5.0
2025-01-12,STP_TVM,F_1141,5.0
2025-01-12,STP_TVM,F_1144,5.0
2025-01-12,STP_TVM,F_1145,5.0
2025-01-12,STP_TVM,F_1156,5.0
2025-01-12,STP_TVM,F_1157,5.0
2025-01-12,STP_TVM,F_1161,5.0
2025-01-12,STP_TVM,F_1164,5.0
2025-01-12,STP_TVM,F_1165,5.0
2025-01-12,STP_TVM,F_1173,5.0
2025-01-12,STP_TVM,F_1176,5.0
2025-01-12,STP_TVM,F_1180,5.0
2025-01-12,STP_TVM,F_1184,5.0
2025-01-12,STP_TVM,F_1185,5.0
2025-01-12,STP_TVM,F_1188,5.0
2025-01-12,STP_TVM,F_1189,5.0
2025-01-12,STP_TVM,F_1193,5.0
2025-01-12,STP_TVM,F_1196,5.0
2025-01-12,STP_TVM,F_1205,5.0
2025-01-12,STP_TVM,F_1208,5.0
